Detector-Descriptor,Total Keypoints in 10 Images,Avg Perf Per Image(ms),Avg Perf Per KeyPoint(us)
SHITOMASI-BRISK,13423,21.27085,0.0015846569321314161
SHITOMASI-BRIEF,13423,20.600815000000004,0.0015347399985100204
SHITOMASI-ORB,13423,19.03035075,0.0014177419913581166
SHITOMASI-FREAK,13423,54.08972250000001,0.004029629926245996
SHITOMASI-SIFT,13423,29.986507500000005,0.0022339646502272225
HARRIS-BRISK,5073,128.00226374999997,0.025232064606741565
HARRIS-BRIEF,5073,135.63245142500003,0.02673614260299626
HARRIS-ORB,5073,135.13655025,0.02663838956238912
HARRIS-FREAK,5073,195.53071749999998,0.03854340971811551
HARRIS-SIFT,5073,164.8174175,0.03248914202641435
FAST-BRISK,49204,7.0811779999999995,0.00014391468173319242
FAST-BRIEF,49204,3.683287500000001,7.485748109909766e-05
FAST-ORB,49204,3.554182,7.223359889439883e-05
FAST-FREAK,49204,44.1402315,0.0008970862429883749
FAST-SIFT,49204,32.71952175,0.0006649768667181529
BRISK-BRISK,27116,43.55543675,0.001606263340831981
BRISK-BRIEF,27116,41.63023575,0.0015352646315828292
BRISK-ORB,27116,44.90473299999999,0.001656023491665437
BRISK-FREAK,27116,81.19695999999999,0.0029944298569110485
BRISK-SIFT,27116,80.03422250000001,0.002951549730786252
ORB-BRISK,5000,8.931589249999998,0.0017863178499999996
ORB-BRIEF,5000,7.57989755,0.0015159795100000001
ORB-ORB,5000,11.29356425,0.00225871285
ORB-FREAK,5000,45.7208635,0.0091441727
ORB-SIFT,5000,45.785995250000006,0.009157199050000002
AKAZE-BRISK,13429,73.3584085,0.005462685866408519
AKAZE-BRIEF,13429,73.398803875,0.005465693936629682
AKAZE-ORB,13429,72.742122,0.005416793655521632
AKAZE-FREAK,13429,109.32313749999999,0.008140824893886364
AKAZE-AKAZE,13429,134.03098,0.009980711892173654
AKAZE-SIFT,13429,94.282635,0.0070208232184079235
SIFT-BRISK,13862,129.2710595,0.009325570588659645
SIFT-BRIEF,13862,126.2943832,0.009110834165344106
SIFT-ORB,13862,131.15210125000002,0.009461268305439332
SIFT-FREAK,13862,164.823015,0.011890276655605252
SIFT-SIFT,13862,185.5002325,0.013381924145145002
